,name,type,latitude_deg,longitude_deg,iso_country,iso_region,municipality,icao_code,iata_code,municipality_iso_country
681,Raleigh County Memorial Airport,medium_airport,37.7873001099,-81.1241989136,US,US-WV,Beckley,KBKW,BKW,"Beckley,US"
682,Mercer County Airport,medium_airport,37.29579925537109,-81.20770263671875,US,US-WV,Bluefield,KBLF,BLF,"Bluefield,US"
683,Blythe Airport,medium_airport,33.6192016602,-114.717002869,US,US-CA,Blythe,KBLH,BLH,"Blythe,US"
684,Bellingham International Airport,medium_airport,48.79280090332031,-122.53800201416016,US,US-WA,Bellingham,KBLI,BLI,"Bellingham,US"
685,Scott AFB/Midamerica Airport,large_airport,38.5452,-89.835197,US,US-IL,Belleville,KBLV,BLV,"Belleville,US"
686,Monroe County Airport,medium_airport,39.14599990844727,-86.61669921875,US,US-IN,Bloomington,KBMG,BMG,"Bloomington,US"
687,Nashville International Airport,large_airport,36.1245002746582,-86.6781997680664,US,US-TN,Nashville,KBNA,BNA,"Nashville,US"
688,Boise Air Terminal/Gowen Field,large_airport,43.5644,-116.223,US,US-ID,Boise,KBOI,BOI,"Boise,US"
689,Logan International Airport,large_airport,42.3643,-71.005203,US,US-MA,Boston,KBOS,BOS,"Boston,US"
690,Ozark Regional Airport,medium_airport,36.3689002991,-92.4704971313,US,US-AR,Mountain Home,KBPK,WMH,"Mountain Home,US"
691,Mountain Home Air Force Base,large_airport,43.043598,-115.872002,US,US-ID,Mountain Home,KMUO,MUO,"Mountain Home,US"
692,Brunswick Golden Isles Airport,medium_airport,31.2588005065918,-81.46649932861328,US,US-GA,Brunswick,KBQK,BQK,"Brunswick,US"
693,Brunswick Executive Airport,medium_airport,43.89220047,-69.93859863,US,US-ME,Brunswick,KBXM,NHZ,"Brunswick,US"
694,Brainerd Lakes Regional Airport,medium_airport,46.39830017,-94.13809967,US,US-MN,Brainerd,KBRD,BRD,"Brainerd,US"
695,Southeast Iowa Regional Airport,medium_airport,40.783199310302734,-91.12550354003906,US,US-IA,Burlington,KBRL,BRL,"Burlington,US"
696,Burlington International Airport,medium_airport,44.4719009399,-73.15329742429999,US,US-VT,Burlington,KBTV,BTV,"Burlington,US"
697,Brownsville South Padre Island International Airport,medium_airport,25.90679931640625,-97.4259033203125,US,US-TX,Brownsville,KBRO,BRO,"Brownsville,US"
698,Battle Creek Executive Airport at Kellogg Field,medium_airport,42.307301,-85.251503,US,US-MI,Battle Creek,KBTL,BTL,"Battle Creek,US"
699,Bert Mooney Airport,medium_airport,45.95479965209961,-112.49700164794922,US,US-MT,Butte,KBTM,BTM,"Butte,US"
700,Baton Rouge Metropolitan Airport,medium_airport,30.533199,-91.149597,US,US-LA,Baton Rouge,KBTR,BTR,"Baton Rouge,US"
701,Buffalo Niagara International Airport,large_airport,42.94049835,-78.73220062,US,US-NY,Buffalo,KBUF,BUF,"Buffalo,US"
702,Bob Hope Airport,medium_airport,34.197703,-118.356378,US,US-CA,Burbank,KBUR,BUR,"Burbank,US"
703,Beaver County Airport,medium_airport,40.7724990845,-80.39140319820001,US,US-PA,Beaver Falls,KBVI,BFP,"Beaver Falls,US"
704,Bowling Green Warren County Regional Airport,medium_airport,36.9645004272,-86.41970062259999,US,US-KY,Bowling Green,KBWG,BWG,"Bowling Green,US"
705,Baltimore/Washington International Thurgood Marshall Airport,large_airport,39.1754,-76.668297,US,US-MD,Baltimore,KBWI,BWI,"Baltimore,US"
706,Martin State Airport,medium_airport,39.325699,-76.413803,US,US-MD,Baltimore,KMTN,MTN,"Baltimore,US"
707,Arkansas International Airport,medium_airport,35.9642982483,-89.94400024410001,US,US-AR,Blytheville,KBYH,BYH,"Blytheville,US"
708,Burley Municipal Airport,medium_airport,42.5425987244,-113.772003174,US,US-ID,Burley,KBYI,BYI,"Burley,US"
709,Gallatin Field,medium_airport,45.77750015,-111.1529999,US,US-MT,Bozeman,KBZN,BZN,"Bozeman,US"
710,Columbia Metropolitan Airport,large_airport,33.93880081176758,-81.11949920654297,US,US-SC,Columbia,KCAE,CAE,"Columbia,US"
